CODI_MUNICIPI;DESC_MUN_REDUIDA;
08049;Casserres;{'08049','Casserres'},
08050;Castellar del Riu;{'08050','Castellar del Riu'},
08051;Castellar del Vallès;{'08051','Castellar del Vallès'},
08052;Castellar de n\'Hug;{'08052','Castellar de n\'Hug'},
08053;Castellbell i el Vilar;{'08053','Castellbell i el Vilar'},
08054;Castellbisbal;{'08054','Castellbisbal'},
08055;Castellcir;{'08055','Castellcir'},
08056;Castelldefels;{'08056','Castelldefels'},
08057;Castell de l\'Areny;{'08057','Castell de l\'Areny'},
08058;Castellet i la Gornal;{'08058','Castellet i la Gornal'},
08059;Castellfollit del Boix;{'08059','Castellfollit del Boix'},
08060;Castellfollit de Riubregós;{'08060','Castellfollit de Riubregós'},
08061;Castellgalí;{'08061','Castellgalí'},
08062;Castellnou de Bages;{'08062','Castellnou de Bages'},
08063;Castellolí;{'08063','Castellolí'},
08064;Castellterçol;{'08064','Castellterçol'},
08065;Castellví de la Marca;{'08065','Castellví de la Marca'},
08066;Castellví de Rosanes;{'08066','Castellví de Rosanes'},
08067;Centelles;{'08067','Centelles'},
08068;Cervelló;{'08068','Cervelló'},
08069;Collbató;{'08069','Collbató'},
08070;Collsuspina;{'08070','Collsuspina'},
08071;Copons;{'08071','Copons'},
08072;Corbera de Llobregat;{'08072','Corbera de Llobregat'},
08073;Cornellà de Llobregat;{'08073','Cornellà de Llobregat'},
08074;Cubelles;{'08074','Cubelles'},
08075;Dosrius;{'08075','Dosrius'},
08076;Esparreguera;{'08076','Esparreguera'},
08077;Esplugues de Llobregat;{'08077','Esplugues de Llobregat'},
08078;Espunyola, L\';{'08078','Espunyola, L\''},
08079;Estany, L\';{'08079','Estany, L\''},
08080;Fígols;{'08080','Fígols'},
08081;Fogars de Montclús;{'08081','Fogars de Montclús'},
08082;Fogars de la Selva;{'08082','Fogars de la Selva'},
08083;Folgueroles;{'08083','Folgueroles'},
08084;Fonollosa;{'08084','Fonollosa'},
08085;Font-rubí;{'08085','Font-rubí'},
08086;Franqueses del Vallès, Les;{'08086','Franqueses del Vallès, Les'},
08087;Gallifa;{'08087','Gallifa'},
08088;Garriga, La;{'08088','Garriga, La'},
08089;Gavà;{'08089','Gavà'},
08090;Gaià;{'08090','Gaià'},
08091;Gelida;{'08091','Gelida'},
08092;Gironella;{'08092','Gironella'},
08093;Gisclareny;{'08093','Gisclareny'},
08094;Granada, La;{'08094','Granada, La'},
08095;Granera;{'08095','Granera'},
08096;Granollers;{'08096','Granollers'},
08097;Gualba;{'08097','Gualba'},
08098;Sant Salvador de Guardiola;{'08098','Sant Salvador de Guardiola'},
08099;Guardiola de Berguedà;{'08099','Guardiola de Berguedà'},
08100;Gurb;{'08100','Gurb'},
08101;Hospitalet de Llobregat, L\';{'08101','Hospitalet de Llobregat, L\''},
08102;Igualada;{'08102','Igualada'},
08103;Jorba;{'08103','Jorba'},
08104;Llacuna, La;{'08104','Llacuna, La'},
08105;Llagosta, La;{'08105','Llagosta, La'},
08106;Llinars del Vallès;{'08106','Llinars del Vallès'},
08107;Lliçà d\'Amunt;{'08107','Lliçà d\'Amunt'},
08108;Lliçà de Vall;{'08108','Lliçà de Vall'},
08109;Lluçà;{'08109','Lluçà'},
08110;Malgrat de Mar;{'08110','Malgrat de Mar'},
08111;Malla;{'08111','Malla'},
08112;Manlleu;{'08112','Manlleu'},
08113;Manresa;{'08113','Manresa'},
08114;Martorell;{'08114','Martorell'},
08115;Martorelles;{'08115','Martorelles'},
08116;Masies de Roda, Les;{'08116','Masies de Roda, Les'},
08117;Masies de Voltregà, Les;{'08117','Masies de Voltregà, Les'},
08118;Masnou, El;{'08118','Masnou, El'},
08119;Masquefa;{'08119','Masquefa'},
08120;Matadepera;{'08120','Matadepera'},
08121;Mataró;{'08121','Mataró'},
08122;Mediona;{'08122','Mediona'},
08123;Molins de Rei;{'08123','Molins de Rei'},
08124;Mollet del Vallès;{'08124','Mollet del Vallès'},
08125;Montcada i Reixac;{'08125','Montcada i Reixac'},
08126;Montgat;{'08126','Montgat'},
08127;Monistrol de Montserrat;{'08127','Monistrol de Montserrat'},
08128;Monistrol de Calders;{'08128','Monistrol de Calders'},
08129;Muntanyola;{'08129','Muntanyola'},
08130;Montclar;{'08130','Montclar'},
08131;Montesquiu;{'08131','Montesquiu'},
08132;Montmajor;{'08132','Montmajor'},
08133;Montmaneu;{'08133','Montmaneu'},
08134;Figaró-Montmany;{'08134','Figaró-Montmany'},
08135;Montmeló;{'08135','Montmeló'},
08136;Montornès del Vallès;{'08136','Montornès del Vallès'},
08137;Montseny;{'08137','Montseny'},
08138;Moià;{'08138','Moià'},
08139;Mura;{'08139','Mura'},
08140;Navarcles;{'08140','Navarcles'},
08141;Navàs;{'08141','Navàs'},
08142;Nou de Berguedà, La;{'08142','Nou de Berguedà, La'},
08143;Òdena;{'08143','Òdena'},
08144;Olvan;{'08144','Olvan'},
08145;Olèrdola;{'08145','Olèrdola'},
08146;Olesa de Bonesvalls;{'08146','Olesa de Bonesvalls'},
08147;Olesa de Montserrat;{'08147','Olesa de Montserrat'},
08148;Olivella;{'08148','Olivella'},
08149;Olost;{'08149','Olost'},
08150;Orís;{'08150','Orís'},
08151;Oristà;{'08151','Oristà'},
08152;Orpí;{'08152','Orpí'},
08153;Òrrius;{'08153','Òrrius'},
08154;Pacs del Penedès;{'08154','Pacs del Penedès'},
08155;Palafolls;{'08155','Palafolls'},
08156;Palau-solità i Plegamans;{'08156','Palau-solità i Plegamans'},
08157;Pallejà;{'08157','Pallejà'},
08158;Papiol, El;{'08158','Papiol, El'},
08159;Parets del Vallès;{'08159','Parets del Vallès'},
08160;Perafita;{'08160','Perafita'},
08161;Piera;{'08161','Piera'},
08162;Hostalets de Pierola, Els;{'08162','Hostalets de Pierola, Els'},
08163;Pineda de Mar;{'08163','Pineda de Mar'},
08164;Pla del Penedès, El;{'08164','Pla del Penedès, El'},
08165;Pobla de Claramunt, La;{'08165','Pobla de Claramunt, La'},
08166;Pobla de Lillet, La;{'08166','Pobla de Lillet, La'},
08167;Polinyà;{'08167','Polinyà'},
08168;Pontons;{'08168','Pontons'},
08169;Prat de Llobregat, El;{'08169','Prat de Llobregat, El'},
08170;Prats de Rei, Els;{'08170','Prats de Rei, Els'},
08171;Prats de Lluçanès;{'08171','Prats de Lluçanès'},
08172;Premià de Mar;{'08172','Premià de Mar'},
08174;Puigdàlber;{'08174','Puigdàlber'},
08175;Puig-reig;{'08175','Puig-reig'},
08176;Pujalt;{'08176','Pujalt'},
08177;Quar, La;{'08177','Quar, La'},
08178;Rajadell;{'08178','Rajadell'},
08179;Rellinars;{'08179','Rellinars'},
08180;Ripollet;{'08180','Ripollet'},
08181;Roca del Vallès, La;{'08181','Roca del Vallès, La'},
08182;Pont de Vilomara i Rocafort, El;{'08182','Pont de Vilomara i Rocafort, El'},
08183;Roda de Ter;{'08183','Roda de Ter'},
08184;Rubí;{'08184','Rubí'},
08185;Rubió;{'08185','Rubió'},
08187;Sabadell;{'08187','Sabadell'},
08188;Sagàs;{'08188','Sagàs'},
08189;Sant Pere Sallavinera;{'08189','Sant Pere Sallavinera'},
08190;Saldes;{'08190','Saldes'},
08191;Sallent;{'08191','Sallent'},
08192;Santpedor;{'08192','Santpedor'},
08193;Sant Iscle de Vallalta;{'08193','Sant Iscle de Vallalta'},
08194;Sant Adrià de Besòs;{'08194','Sant Adrià de Besòs'},
08195;Sant Agustí de Lluçanès;{'08195','Sant Agustí de Lluçanès'},
08196;Sant Andreu de la Barca;{'08196','Sant Andreu de la Barca'},
08197;Sant Andreu de Llavaneres;{'08197','Sant Andreu de Llavaneres'},
08198;Sant Antoni de Vilamajor;{'08198','Sant Antoni de Vilamajor'},
08199;Sant Bartomeu del Grau;{'08199','Sant Bartomeu del Grau'},
08200;Sant Boi de Llobregat;{'08200','Sant Boi de Llobregat'},
08201;Sant Boi de Lluçanès;{'08201','Sant Boi de Lluçanès'},
08202;Sant Celoni;{'08202','Sant Celoni'},
08203;Sant Cebrià de Vallalta;{'08203','Sant Cebrià de Vallalta'},
08204;Sant Climent de Llobregat;{'08204','Sant Climent de Llobregat'},
08205;Sant Cugat del Vallès;{'08205','Sant Cugat del Vallès'},
08206;Sant Cugat Sesgarrigues;{'08206','Sant Cugat Sesgarrigues'},
08207;Sant Esteve de Palautordera;{'08207','Sant Esteve de Palautordera'},
08208;Sant Esteve Sesrovires;{'08208','Sant Esteve Sesrovires'},
08209;Sant Fost de Campsentelles;{'08209','Sant Fost de Campsentelles'},
08210;Sant Feliu de Codines;{'08210','Sant Feliu de Codines'},
08211;Sant Feliu de Llobregat;{'08211','Sant Feliu de Llobregat'},
08212;Sant Feliu Sasserra;{'08212','Sant Feliu Sasserra'},
08213;Sant Fruitós de Bages;{'08213','Sant Fruitós de Bages'},
08214;Vilassar de Dalt;{'08214','Vilassar de Dalt'},
08215;Sant Hipòlit de Voltregà;{'08215','Sant Hipòlit de Voltregà'},
08216;Sant Jaume de Frontanyà;{'08216','Sant Jaume de Frontanyà'},
08217;Sant Joan Despí;{'08217','Sant Joan Despí'},
08218;Sant Joan de Vilatorrada;{'08218','Sant Joan de Vilatorrada'},
08219;Vilassar de Mar;{'08219','Vilassar de Mar'},
08220;Sant Julià de Vilatorta;{'08220','Sant Julià de Vilatorta'},
08221;Sant Just Desvern;{'08221','Sant Just Desvern'},
08222;Sant Llorenç d\'Hortons;{'08222','Sant Llorenç d\'Hortons'},
08223;Sant Llorenç Savall;{'08223','Sant Llorenç Savall'},
08224;Sant Martí de Centelles;{'08224','Sant Martí de Centelles'},
08225;Sant Martí d\'Albars;{'08225','Sant Martí d\'Albars'},
08226;Sant Martí de Tous;{'08226','Sant Martí de Tous'},
08227;Sant Martí Sarroca;{'08227','Sant Martí Sarroca'},
08228;Sant Martí Sesgueioles;{'08228','Sant Martí Sesgueioles'},
08229;Sant Mateu de Bages;{'08229','Sant Mateu de Bages'},
08230;Premià de Dalt;{'08230','Premià de Dalt'},
08231;Sant Pere de Ribes;{'08231','Sant Pere de Ribes'},
08232;Sant Pere de Riudebitlles;{'08232','Sant Pere de Riudebitlles'},
08233;Sant Pere de Torelló;{'08233','Sant Pere de Torelló'},
08234;Sant Pere de Vilamajor;{'08234','Sant Pere de Vilamajor'},
08235;Sant Pol de Mar;{'08235','Sant Pol de Mar'},
08236;Sant Quintí de Mediona;{'08236','Sant Quintí de Mediona'},
08237;Sant Quirze de Besora;{'08237','Sant Quirze de Besora'},
08238;Sant Quirze del Vallès;{'08238','Sant Quirze del Vallès'},
08239;Sant Quirze Safaja;{'08239','Sant Quirze Safaja'},
08240;Sant Sadurní d\'Anoia;{'08240','Sant Sadurní d\'Anoia'},
08241;Sant Sadurní d\'Osormort;{'08241','Sant Sadurní d\'Osormort'},
08242;Marganell;{'08242','Marganell'},
08243;Santa Cecília de Voltregà;{'08243','Santa Cecília de Voltregà'},
08244;Santa Coloma de Cervelló;{'08244','Santa Coloma de Cervelló'},
08245;Santa Coloma de Gramenet;{'08245','Santa Coloma de Gramenet'},
08246;Santa Eugènia de Berga;{'08246','Santa Eugènia de Berga'},
08247;Santa Eulàlia de Riuprimer;{'08247','Santa Eulàlia de Riuprimer'},
08248;Santa Eulàlia de Ronçana;{'08248','Santa Eulàlia de Ronçana'},
08249;Santa Fe del Penedès;{'08249','Santa Fe del Penedès'},
08250;Santa Margarida de Montbui;{'08250','Santa Margarida de Montbui'},
08251;Santa Margarida i els Monjos;{'08251','Santa Margarida i els Monjos'},
08252;Barberà del Vallès;{'08252','Barberà del Vallès'},
08253;Santa Maria de Besora;{'08253','Santa Maria de Besora'},
08254;Esquirol, L\';{'08254','Esquirol, L\''},
08255;Santa Maria de Merlès;{'08255','Santa Maria de Merlès'},
08256;Santa Maria de Martorelles;{'08256','Santa Maria de Martorelles'},
08257;Santa Maria de Miralles;{'08257','Santa Maria de Miralles'},
08258;Santa Maria d\'Oló;{'08258','Santa Maria d\'Oló'},
08259;Santa Maria de Palautordera;{'08259','Santa Maria de Palautordera'},
08260;Santa Perpètua de Mogoda;{'08260','Santa Perpètua de Mogoda'},
08261;Santa Susanna;{'08261','Santa Susanna'},
08262;Sant Vicenç de Castellet;{'08262','Sant Vicenç de Castellet'},
08263;Sant Vicenç dels Horts;{'08263','Sant Vicenç dels Horts'},
08264;Sant Vicenç de Montalt;{'08264','Sant Vicenç de Montalt'},
08265;Sant Vicenç de Torelló;{'08265','Sant Vicenç de Torelló'},
08266;Cerdanyola del Vallès;{'08266','Cerdanyola del Vallès'},
08267;Sentmenat;{'08267','Sentmenat'},
08268;Cercs;{'08268','Cercs'},
08269;Seva;{'08269','Seva'},
08270;Sitges;{'08270','Sitges'},
08271;Sobremunt;{'08271','Sobremunt'},
08272;Sora;{'08272','Sora'},
08273;Subirats;{'08273','Subirats'},
08274;Súria;{'08274','Súria'},
08275;Tavèrnoles;{'08275','Tavèrnoles'},
08276;Tagamanent;{'08276','Tagamanent'},
08277;Talamanca;{'08277','Talamanca'},
08278;Taradell;{'08278','Taradell'},
08279;Terrassa;{'08279','Terrassa'},
08280;Tavertet;{'08280','Tavertet'},
08281;Teià;{'08281','Teià'},
08282;Tiana;{'08282','Tiana'},
08283;Tona;{'08283','Tona'},
08284;Tordera;{'08284','Tordera'},
08285;Torelló;{'08285','Torelló'},
08286;Torre de Claramunt, La;{'08286','Torre de Claramunt, La'},
08287;Torrelavit;{'08287','Torrelavit'},
08288;Torrelles de Foix;{'08288','Torrelles de Foix'},
08289;Torrelles de Llobregat;{'08289','Torrelles de Llobregat'},
08290;Ullastrell;{'08290','Ullastrell'},
08291;Vacarisses;{'08291','Vacarisses'},
08292;Vallbona d\'Anoia;{'08292','Vallbona d\'Anoia'},
08293;Vallcebre;{'08293','Vallcebre'},
08294;Vallgorguina;{'08294','Vallgorguina'},
08295;Vallirana;{'08295','Vallirana'},
08296;Vallromanes;{'08296','Vallromanes'},
08297;Veciana;{'08297','Veciana'},
08298;Vic;{'08298','Vic'},
08299;Vilada;{'08299','Vilada'},
08300;Viladecavalls;{'08300','Viladecavalls'},
08301;Viladecans;{'08301','Viladecans'},
08302;Vilanova del Camí;{'08302','Vilanova del Camí'},
08303;Vilanova de Sau;{'08303','Vilanova de Sau'},
08304;Vilobí del Penedès;{'08304','Vilobí del Penedès'},
08305;Vilafranca del Penedès;{'08305','Vilafranca del Penedès'},
08306;Vilalba Sasserra;{'08306','Vilalba Sasserra'},
08307;Vilanova i la Geltrú;{'08307','Vilanova i la Geltrú'},
08308;Viver i Serrateix;{'08308','Viver i Serrateix'},
08901;Rupit i Pruit;{'08901','Rupit i Pruit'},
08902;Vilanova del Vallès;{'08902','Vilanova del Vallès'},
08903;Sant Julià de Cerdanyola;{'08903','Sant Julià de Cerdanyola'},
08904;Badia del Vallès;{'08904','Badia del Vallès'},
08905;Palma de Cervelló, La;{'08905','Palma de Cervelló, La'},
17001;Agullana;{'17001','Agullana'},
17002;Aiguaviva;{'17002','Aiguaviva'},
17003;Albanyà;{'17003','Albanyà'},
17004;Albons;{'17004','Albons'},
17005;Far d\'Empordà, El;{'17005','Far d\'Empordà, El'},
17006;Alp;{'17006','Alp'},
17007;Amer;{'17007','Amer'},
17008;Anglès;{'17008','Anglès'},
17009;Arbúcies;{'17009','Arbúcies'},
17010;Argelaguer;{'17010','Argelaguer'},
17011;Armentera, L\';{'17011','Armentera, L\''},
17012;Avinyonet de Puigventós;{'17012','Avinyonet de Puigventós'},
17013;Begur;{'17013','Begur'},
17014;Vajol, La;{'17014','Vajol, La'},
17015;Banyoles;{'17015','Banyoles'},
17016;Bàscara;{'17016','Bàscara'},
17018;Bellcaire d\'Empordà;{'17018','Bellcaire d\'Empordà'},
17019;Besalú;{'17019','Besalú'},
17020;Bescanó;{'17020','Bescanó'},
17021;Beuda;{'17021','Beuda'},
17022;Bisbal d\'Empordà, La;{'17022','Bisbal d\'Empordà, La'},
17023;Blanes;{'17023','Blanes'},
17024;Bolvir;{'17024','Bolvir'},
17025;Bordils;{'17025','Bordils'},
17026;Borrassà;{'17026','Borrassà'},
17027;Breda;{'17027','Breda'},
17028;Brunyola;{'17028','Brunyola'},
17029;Boadella i les Escaules;{'17029','Boadella i les Escaules'},
17030;Cabanes;{'17030','Cabanes'},
17031;Cabanelles;{'17031','Cabanelles'},
17032;Cadaqués;{'17032','Cadaqués'},
17033;Caldes de Malavella;{'17033','Caldes de Malavella'},
17034;Calonge;{'17034','Calonge'},
17035;Camós;{'17035','Camós'},
17036;Campdevànol;{'17036','Campdevànol'},
17037;Campelles;{'17037','Campelles'},
17038;Campllong;{'17038','Campllong'},
17039;Camprodon;{'17039','Camprodon'},
17040;Canet d\'Adri;{'17040','Canet d\'Adri'},
17041;Cantallops;{'17041','Cantallops'},
17042;Capmany;{'17042','Capmany'},
17043;Queralbs;{'17043','Queralbs'},
17044;Cassà de la Selva;{'17044','Cassà de la Selva'},
17046;Castellfollit de la Roca;{'17046','Castellfollit de la Roca'},
17047;Castelló d\'Empúries;{'17047','Castelló d\'Empúries'},
17048;Castell-Platja d\'Aro;{'17048','Castell-Platja d\'Aro'},
17049;Celrà;{'17049','Celrà'},
17050;Cervià de Ter;{'17050','Cervià de Ter'},
17051;Cistella;{'17051','Cistella'},
17052;Siurana;{'17052','Siurana'},
17054;Colera;{'17054','Colera'},
17055;Colomers;{'17055','Colomers'},
17056;Cornellà del Terri;{'17056','Cornellà del Terri'},
17057;Corçà;{'17057','Corçà'},
17058;Crespià;{'17058','Crespià'},
17060;Darnius;{'17060','Darnius'},
17061;Das;{'17061','Das'},
17062;Escala, L\';{'17062','Escala, L\''},
17063;Espinelves;{'17063','Espinelves'},
17064;Espolla;{'17064','Espolla'},
17065;Esponellà;{'17065','Esponellà'},
17066;Figueres;{'17066','Figueres'},
17067;Flaçà;{'17067','Flaçà'},
17068;Foixà;{'17068','Foixà'},
17069;Fontanals de Cerdanya;{'17069','Fontanals de Cerdanya'},
17070;Fontanilles;{'17070','Fontanilles'},
17071;Fontcoberta;{'17071','Fontcoberta'},
17073;Fornells de la Selva;{'17073','Fornells de la Selva'},
17074;Fortià;{'17074','Fortià'},
17075;Garrigàs;{'17075','Garrigàs'},
17076;Garrigoles;{'17076','Garrigoles'},
17077;Garriguella;{'17077','Garriguella'},
17078;Ger;{'17078','Ger'},
17079;Girona;{'17079','Girona'},
17080;Gombrèn;{'17080','Gombrèn'},
17081;Gualta;{'17081','Gualta'},
17082;Guils de Cerdanya;{'17082','Guils de Cerdanya'},
17083;Hostalric;{'17083','Hostalric'},
17084;Isòvol;{'17084','Isòvol'},
17085;Jafre;{'17085','Jafre'},
17086;Jonquera, La;{'17086','Jonquera, La'},
17087;Juià;{'17087','Juià'},
17088;Lladó;{'17088','Lladó'},
17089;Llagostera;{'17089','Llagostera'},
17090;Llambilles;{'17090','Llambilles'},
17091;Llanars;{'17091','Llanars'},
17092;Llançà;{'17092','Llançà'},
17093;Llers;{'17093','Llers'},
17094;Llívia;{'17094','Llívia'},
17095;Lloret de Mar;{'17095','Lloret de Mar'},
17096;Llosses, Les;{'17096','Llosses, Les'},
17097;Madremanya;{'17097','Madremanya'},
17098;Maià de Montcal;{'17098','Maià de Montcal'},
17099;Meranges;{'17099','Meranges'},
17100;Masarac;{'17100','Masarac'},
17101;Massanes;{'17101','Massanes'},
17102;Maçanet de Cabrenys;{'17102','Maçanet de Cabrenys'},
17103;Maçanet de la Selva;{'17103','Maçanet de la Selva'},
17105;Mieres;{'17105','Mieres'},
17106;Mollet de Peralada;{'17106','Mollet de Peralada'},
17107;Molló;{'17107','Molló'},
17109;Montagut i Oix;{'17109','Montagut i Oix'},
17110;Mont-ras;{'17110','Mont-ras'},
17111;Navata;{'17111','Navata'},
17112;Ogassa;{'17112','Ogassa'},
17114;Olot;{'17114','Olot'},
17115;Ordis;{'17115','Ordis'},
17116;Osor;{'17116','Osor'},
17117;Palafrugell;{'17117','Palafrugell'},
17118;Palamós;{'17118','Palamós'},
17119;Palau de Santa Eulàlia;{'17119','Palau de Santa Eulàlia'},
17120;Palau-saverdera;{'17120','Palau-saverdera'},
17121;Palau-sator;{'17121','Palau-sator'},
17123;Palol de Revardit;{'17123','Palol de Revardit'},
17124;Pals;{'17124','Pals'},
17125;Pardines;{'17125','Pardines'},
17126;Parlavà;{'17126','Parlavà'},
17128;Pau;{'17128','Pau'},
17129;Pedret i Marzà;{'17129','Pedret i Marzà'},
17130;Pera, La;{'17130','Pera, La'},
17132;Peralada;{'17132','Peralada'},
17133;Planes d\'Hostoles, Les;{'17133','Planes d\'Hostoles, Les'},
17134;Planoles;{'17134','Planoles'},
17135;Pont de Molins;{'17135','Pont de Molins'},
17136;Pontós;{'17136','Pontós'},
17137;Porqueres;{'17137','Porqueres'},
17138;Portbou;{'17138','Portbou'},
17139;Preses, Les;{'17139','Preses, Les'},
17140;Port de la Selva, El;{'17140','Port de la Selva, El'},
17141;Puigcerdà;{'17141','Puigcerdà'},
17142;Quart;{'17142','Quart'},
17143;Rabós;{'17143','Rabós'},
17144;Regencós;{'17144','Regencós'},
17145;Ribes de Freser;{'17145','Ribes de Freser'},
17146;Riells i Viabrea;{'17146','Riells i Viabrea'},
17147;Ripoll;{'17147','Ripoll'},
17148;Riudarenes;{'17148','Riudarenes'},
17149;Riudaura;{'17149','Riudaura'},
17150;Riudellots de la Selva;{'17150','Riudellots de la Selva'},
17151;Riumors;{'17151','Riumors'},
17152;Roses;{'17152','Roses'},
17153;Rupià;{'17153','Rupià'},
17154;Sales de Llierca;{'17154','Sales de Llierca'},
17155;Salt;{'17155','Salt'},
17157;Sant Andreu Salou;{'17157','Sant Andreu Salou'},
17158;Sant Climent Sescebes;{'17158','Sant Climent Sescebes'},
17159;Sant Feliu de Buixalleu;{'17159','Sant Feliu de Buixalleu'},
17160;Sant Feliu de Guíxols;{'17160','Sant Feliu de Guíxols'},
17161;Sant Feliu de Pallerols;{'17161','Sant Feliu de Pallerols'},
17162;Sant Ferriol;{'17162','Sant Ferriol'},
17163;Sant Gregori;{'17163','Sant Gregori'},
17164;Sant Hilari Sacalm;{'17164','Sant Hilari Sacalm'},
17165;Sant Jaume de Llierca;{'17165','Sant Jaume de Llierca'},
17166;Sant Jordi Desvalls;{'17166','Sant Jordi Desvalls'},
17167;Sant Joan de les Abadesses;{'17167','Sant Joan de les Abadesses'},
17168;Sant Joan de Mollet;{'17168','Sant Joan de Mollet'},
17169;Sant Julià de Ramis;{'17169','Sant Julià de Ramis'},
17170;Vallfogona de Ripollès;{'17170','Vallfogona de Ripollès'},
17171;Sant Llorenç de la Muga;{'17171','Sant Llorenç de la Muga'},
17172;Sant Martí de Llémena;{'17172','Sant Martí de Llémena'},
17173;Sant Martí Vell;{'17173','Sant Martí Vell'},
17174;Sant Miquel de Campmajor;{'17174','Sant Miquel de Campmajor'},
17175;Sant Miquel de Fluvià;{'17175','Sant Miquel de Fluvià'},
17176;Sant Mori;{'17176','Sant Mori'},
17177;Sant Pau de Segúries;{'17177','Sant Pau de Segúries'},
17178;Sant Pere Pescador;{'17178','Sant Pere Pescador'},
17180;Santa Coloma de Farners;{'17180','Santa Coloma de Farners'},
17181;Santa Cristina d\'Aro;{'17181','Santa Cristina d\'Aro'},
17182;Santa Llogaia d\'Àlguema;{'17182','Santa Llogaia d\'Àlguema'},
17183;Sant Aniol de Finestres;{'17183','Sant Aniol de Finestres'},
17184;Santa Pau;{'17184','Santa Pau'},
17185;Sant Joan les Fonts;{'17185','Sant Joan les Fonts'},
17186;Sarrià de Ter;{'17186','Sarrià de Ter'},
17187;Saus, Camallera i Llampaies;{'17187','Saus, Camallera i Llampaies'},
17188;Selva de Mar, La;{'17188','Selva de Mar, La'},
17189;Cellera de Ter, La;{'17189','Cellera de Ter, La'},
17190;Serinyà;{'17190','Serinyà'},
17191;Serra de Daró;{'17191','Serra de Daró'},
17192;Setcases;{'17192','Setcases'},
17193;Sils;{'17193','Sils'},
17194;Susqueda;{'17194','Susqueda'},
17195;Tallada d\'Empordà, La;{'17195','Tallada d\'Empordà, La'},
17196;Terrades;{'17196','Terrades'},
17197;Torrent;{'17197','Torrent'},
17198;Torroella de Fluvià;{'17198','Torroella de Fluvià'},
17199;Torroella de Montgrí;{'17199','Torroella de Montgrí'},
17200;Tortellà;{'17200','Tortellà'},
17201;Toses;{'17201','Toses'},
17202;Tossa de Mar;{'17202','Tossa de Mar'},
17203;Ultramort;{'17203','Ultramort'},
17204;Ullà;{'17204','Ullà'},
17205;Ullastret;{'17205','Ullastret'},
17206;Urús;{'17206','Urús'},
17207;Vall d\'en Bas, La;{'17207','Vall d\'en Bas, La'},
17208;Vall de Bianya, La;{'17208','Vall de Bianya, La'},
17209;Vall-llobrega;{'17209','Vall-llobrega'},
17210;Ventalló;{'17210','Ventalló'},
17211;Verges;{'17211','Verges'},
17212;Vidrà;{'17212','Vidrà'},
17213;Vidreres;{'17213','Vidreres'},
17214;Vilabertran;{'17214','Vilabertran'},
17215;Vilablareix;{'17215','Vilablareix'},
17216;Viladasens;{'17216','Viladasens'},
17217;Viladamat;{'17217','Viladamat'},
17218;Vilademuls;{'17218','Vilademuls'},
17220;Viladrau;{'17220','Viladrau'},
17221;Vilafant;{'17221','Vilafant'},
17222;Vilaür;{'17222','Vilaür'},
17223;Vilajuïga;{'17223','Vilajuïga'},
17224;Vilallonga de Ter;{'17224','Vilallonga de Ter'},
17225;Vilamacolum;{'17225','Vilamacolum'},
